法律名称,法条内容
河北省防汛避险人员转移条例,"第三十三条 故意编造灾情虚假消息、散布谣言的，公安机关、网信部门应当采取必要措施，依法对其予以处罚；构成犯罪的，依法追究刑事责任。
"
博尔塔拉蒙古自治州文明行为促进条例,"第十七条 公民应当维护网络文明，自觉遵守下列规定：
 （一）维护网络安全，遵守网络秩序；
 （二）不编造、发布、传播低俗、淫秽、暴力、危害国家安全和公共秩序等信息和网络谣言；
 （三）尊重他人隐私，不非法公开他人个人信息；
 （四）使用文明语言，拒绝网络暴力；
 （五）其他网络文明行为规范。"
甘孜藏族自治州文明行为促进条例,"第十九条 自治州、县（市）精神文明建设指导机构应当定期对文明行为促进工作现状进行评估，建立重点治理清单并适时调整，及时向社会公布。… （十二）编造、传播网络谣言，实施网络人身攻击；…
"
怒江傈僳族自治州文明行为促进条例,"第十六条 倡导、规范下列网络文明行为：
 （一）文明上网，诚信用网，理性表达；
 （二）遵守网络安全秩序，抵制网络谣言和不良信息，不造谣、不信谣、不传谣；
 （三）尊重他人合法权益，拒绝网络暴力；"
陕西省防震减灾条例(2023修正),"第二十八条 除发表本人或者本单位关于长期、中期地震活动趋势的研究成果，或者进行相关学术交流外，任何单位和个人不得向社会散布地震预测意见、地震预报意见及其评审结果。
 新闻媒体刊登、播发地震预报消息，应当以国务院或者省人民政府发布的地震预报为准。
 任何单位和个人不得制造、散布地震谣言。对扰乱社会秩序的地震谣传、误传，县级以上人民政府应当采取措施，迅速予以澄清。"
安康市文明行为促进条例,"第十六条 公民应当维护网络文明，自觉遵守下列行为规范：
 （一）遵守网络安全规定，不得破坏网络秩序；
 （二）文明互动，理性表达，不得利用网络和相关信息技术实施侮辱、诽谤、威胁、散布谣言以及侵犯他人隐私等网络暴力行为；
 （三）传播先进文化，抵制网络谣言和不良信息；
 （四）尊重自主创新，保护他人知识产权；
 （五）其他维护网络文明的行为规范。"
克拉玛依市文明行为促进条例,"第十六条 公民应当文明上网、文明用网，遵守下列文明行为规范：
 （一）遵纪守法，保守国家秘密、商业秘密，不侵犯他人隐私； 
 （二）尊重自主创新，保护他人知识产权，不抄袭、剽窃他人作品，不下载和使用未经授权的网络产品；
 （三）传播先进文化，不发布、传播和观看具有迷信、色情、低俗、恐怖、暴力等内容的视听资料和信息；
 （四）抵制网络谣言，不编造、散布虚假信息或者其他未经证实的信息；
 （五）不参与网络赌博等违法活动；
 （六）文明互动，理性表达，不实施谩骂、侮辱、诽谤、恐吓、人肉搜索等网络暴力行为； 
 （七）其他网络文明行为规范。
 网络运营者应当文明办网，依法依规经营，遵守公序良俗，配合相关部门维护安全健康的网络环境。"
甘肃省平安建设条例,"第二十九条 网信、公安、通信管理等部门应当按照职责加强网络安全管理和防护工作，开展网络违法信息巡查和网络安全宣传教育，加强公民个人信息保护，加强对网络运营者的监督管理，预防和打击网络违法犯罪活动。
 网络运营者应当履行网络安全主体责任，落实网络安全法律法规和等级保护制度要求，制定网络安全应急预案，保障网络数据安全和用户信息安全，防范网络安全风险。
 网络使用者应当遵守法律法规的规定，遵守公共秩序，尊重社会公德，不得利用网络从事危害国家安全、扰乱经济秩序和社会秩序、侵害他人合法权益的活动，不得编造、传播违法有害信息或者谣言。"
江西省防震减灾条例(2023修正),"第十八条 省人民政府应当依照国家发布地震预报的规定，统一向社会及时发布地震预报。新闻媒体刊登或者播发地震预报消息，应当以国务院、省人民政府发布的地震预报为准。 任何单位和个人不得散布有关地震的谣言。对造成或者可能造成社会秩序混乱的有关地震谣言，县级以上人民政府应当迅速采取有效措施及时予以澄清，消除影响。
"
山西省未成年人保护条例(2023修订),"第二十一条 学校应当将未成年学生欺凌防控工作纳入学校安全工作，建立学生欺凌预防和处置机制，定期对教职员工、学生等开展防治学生欺凌的教育和培训。… （五）通过网络或者其他信息传播方式捏造事实诽谤他人、散布谣言或者错误信息诋毁他人、恶意传播他人隐私；…
"
怀化市文明行为促进条例,"第十三条 公民应当文明使用网络，遵守下列行为规范：
 （一）使用文明语言；
 （二）尊重他人权利，拒绝网络暴力；
 （三）不得传播网络谣言和不良信息；
 （四）不得违背公序良俗进行网络直播和发布信息；
 （五）其他网络文明行为规范。"
固原市文明行为促进条例,"第十条 公民应当遵守下列文明行为：… （四）文明上网，理性表达，传播先进文化，抵制网络暴力、网络谣言、不良信息；…
"
松原市网络文明建设条例,"第五条 本行政区域内自媒体和自然人应当成为弘扬正能量、服务本地经济社会发展的宣传力量，在利用和使用互联网过程中不得有下列行为：（一）散布谣言，扰乱社会秩序或经济秩序，破坏社会稳定；…
"
鸡西市文明行为促进条例,"第六条 公民应当遵守下列文明行为规范：… （五）遵守网络安全法律法规，文明上网、诚信用网、理性表达，保守国家秘密，尊重他人隐私，抵制网络谣言，反对网络暴力，不浏览、编造、传播虚假、色情、低俗等不良信息；…
"
宁波市文明行为促进条例(2023修正),"第七条 倡导下列文明行为：… （十）文明上网，理性表达，自觉抵制网络谣言和不良信息；…
"
宁波市人民代表大会常务委员会关于修改《宁波市文明行为促进条例》的决定(2023),"三、将第七条第二项修改为：“（二）保护生态环境，践行绿色生活方式，减少废气、废水、固体废弃物等各类污染物排放”。
 第五项修改为：“（五）等候服务时依次排队、按照公共场所设置的提示、标志保持间距，使用厢式电梯时先出后进，使用自动扶梯时靠右侧站立”。
 第七项修改为：“（七）行人应当在人行道内行走，没有人行道或者人行道被占道的，靠路边行走；通过路口或者横穿道路时，按照交通信号指示从人行横道快速通过或者从行人过街设施通过，不浏览手持电子设备”。
 增加一项，作为第九项：“（九）观看电影、赛事、演出、展览时，遵守观赏礼仪，离场时自觉带走垃圾”。
 增加一项，作为第十项：“（十）文明上网，理性表达，自觉抵制网络谣言和不良信息”。"
扬州市文明行为促进条例(2023修正),"第二十条 公民应当文明上网，自觉遵守下列规范：… （四）养成科学文明上网习惯，不沉迷于网络游戏、网络直播、网络音视频等网络产品和服务，抵制网络谣言、网络赌博、网络诈骗、网络暴力、网络色情等网络不文明内容和行为；…
"
扬州市人民代表大会常务委员会关于修改《扬州市文明行为促进条例》的决定(2023),"三、增加一条，作为第二十条：“公民应当文明上网，自觉遵守下列规范：… “（四）养成科学文明上网习惯，不沉迷于网络游戏、网络直播、网络音视频等网络产品和服务，抵制网络谣言、网络赌博、网络诈骗、网络暴力、网络色情等网络不文明内容和行为；…
"
乐山市文明行为促进条例,"第十六条 在网络文明方面，遵守下列行为规范：
 （一）尊重他人合法权益，不得利用网络进行侵犯他人名誉、隐私、知识产权和其他合法权益等活动；
 （二）文明互动，理性表达，抵制谩骂、侮辱、诽谤、恐吓等网络暴力行为；
 （三）传播先进文化，抵制恐怖、暴力、迷信、色情、低俗等不良信息；
 （四）不传播含有丑化民族形象、破坏国家统一和诋毁英模烈士的言论、图片等信息；
 （五）抵制网络谣言，不造谣、不信谣、不传谣；
 （六）互联网上网服务营业场所的经营者不得接纳未成年人进入营业场所，应当在营业场所入口处的显著位置悬挂未成年人禁入标志；
 （七）网络信息内容服务平台应当加强本平台网络信息内容生态治理，培育积极健康、向上向善的网络文化；
 （八）其他维护网络文明的行为规范。"
铁岭市文明行为促进条例,"第十八条 在维护网络文明方面，自觉遵守下列文明行为规范：
 （一）文明互动，理性表达；
 （二）尊重他人权利，拒绝网络暴力；
 （三）抵制网络谣言，不造谣、不信谣、不传谣，不发表不当言论；
 （四）不利用网络、社交平台传播低级媚俗信息和淫秽、色情信息；
 （五）其他维护网络文明的行为规范。"
昭通市文明行为促进条例,"第十六条 文明使用网络，遵守下列行为规范：
 （一）抵制网络谣言和不良信息，不造谣、不传谣、不信谣；
 （二）文明互动，理性表达，尊重他人隐私，拒绝网络暴力；
 （三）不恶意投诉、炒作，客观公正评价。"
